date,trend_1,trend_2,trend_3,trend_4,trend_5
2022-12-25 18:15:53.317927,Chalapathi Rao,Ravichandran Ashwin,Jesus,Christmas songs,Kamal Haasan
2022-12-26 18:16:33.319912,Brentford vs Tottenham,Epic Games,Leicester City vs Newcastle,Sushant Singh Rajput,Boxing Day
2022-12-27 18:16:37.941286,Salman Khan,David Warner,Chelsea vs Bournemouth,Australia vs South Africa,Prahlad Modi
2022-12-28 18:16:49.900090,Pele,When is CTET exam 2022,Fawad Khan Maula Jatt,Rishabh Pant,Heeraben Modi
2022-12-29 18:16:45.971073,CBSE,PSG,Radhika Merchant,Gautam Adani,Nitin Manmohan
2022-12-30 18:16:19.957539,Rishabh Pant,Happy New Year 2023,Pele News,Vande Bharat Express,Patna Nagar Nigam Election 2022
2022-12-31 18:15:29.346297,Al Nassr,Advance Happy New Year 2023,Man City vs Everton,New Year's Eve,Kiara Advani
2023-01-01 18:15:45.918480,Tottenham vs Aston Villa,Earthquake,Kaleidoscope Netflix,Nottm Forest vs Chelsea,New Year photos
2023-01-02 18:16:33.167174,PSG,SBI Clerk Result,Jeremy Renner,Hrithik Roshan,Shark Tank India Season 2
2023-01-03 18:16:44.280777,Sports,Ken Block,IND %E0%A4%AC%E0%A4%A8%E0%A4%BE%E0%A4%AE SL,%E0%A4%B8%E0%A4%BE%E0%A4%B5%E0%A4%BF%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A5%80%E0%A4%AC%E0%A4%BE%E0%A4%88 %E0%A4%AB%E0%A5%81%E0%A4%B2%E0%A5%87 %E0%A4%9C%E0%A4%AF%E0%A4%82%E0%A4%A4%E0%A5%80,Ishan Kishan
2023-01-04 18:18:01.501513,Varisu Trailer,Ssc.nic.in,Serie A,OnePlus 11,CRPF Recruitment 2023
2023-01-05 18:17:58.807226,Crystal Palace vs Tottenham,Bajaj Finance share price,Deepika Padukone,Steve Smith,Redmi Note 12
